City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
90,nykarleby,63.5228,63.5228,71.02,45,85,7.87,FI,1693143789
91,taoudenni,22.6783,22.6783,110.41,17,49,9.62,ML,1693143789
92,yellowknife,62.456,62.456,54.41,96,100,12.66,CA,1693143607
93,malango,-2.9627,-2.9627,67.06,97,94,1.72,ID,1693143790
94,puerto ayora,-0.7393,-0.7393,76.55,92,72,8.99,EC,1693143790
95,fortuna,40.5982,40.5982,57.54,95,100,0.0,US,1693143790
96,olonkinbyen,70.9221,70.9221,43.97,93,100,17.47,SJ,1693143791
97,sao jose da coroa grande,-8.8978,-8.8978,83.48,72,14,12.3,BR,1693143791
98,kyzylorda,44.8528,44.8528,71.62,35,40,20.13,KZ,1693143792
99,laramie,41.3114,41.3114,62.96,87,0,5.75,US,1693143792
100,punta arenas,-53.15,-53.15,38.57,96,100,1.59,CL,1693143793
101,markaz-e hukumat-e darweshan,31.1323,31.1323,99.99,10,1,14.97,AF,1693143793
102,jiwani,25.05,25.05,80.15,78,89,10.11,PK,1693143793
103,atafu village,-8.5421,-8.5421,81.82,77,50,11.1,TK,1693143794
104,ribeira grande,38.5167,38.5167,77.4,73,20,20.0,PT,1693143794
105,tura,25.5198,25.5198,74.07,95,100,3.69,IN,1693143795
106,warrenton,-28.114,-28.114,72.82,7,0,10.2,ZA,1693143795
107,am timan,11.0297,11.0297,89.53,52,88,3.47,TD,1693143796
108,krasnyy chikoy,50.3643,50.3643,54.55,87,1,1.92,RU,1693143796
109,jesus maria,-30.9815,-30.9815,59.79,31,7,10.67,AR,1693143796
110,porbandar,21.6422,21.6422,81.84,72,71,13.85,IN,1693143797
111,ust'-barguzin,53.45,53.45,57.4,81,96,3.33,RU,1693143797
112,carnarvon,-24.8667,-24.8667,69.06,59,0,8.3,AU,1693143797
113,flin flon,54.7682,54.7682,60.64,88,100,0.0,CA,1693143798
114,nouadhibou,20.931,20.931,103.98,25,8,20.71,MR,1693143798
115,uturoa,-16.7333,-16.7333,78.1,70,39,12.19,PF,1693143798
116,kuala terengganu,5.3302,5.3302,80.55,83,20,5.01,MY,1693143758
117,vaijapur,19.9167,19.9167,78.28,70,93,16.89,IN,1693143799
118,tal'menka,53.8183,53.8183,64.38,72,97,3.58,RU,1693143799
119,west island,-12.1568,-12.1568,76.98,78,75,14.97,CC,1693143686
120,nova sintra,14.8667,14.8667,76.51,76,18,2.42,CV,1693143800
